Date;VALE3.SA;LREN3.SA;CMIG3.SA;OIBR4.SA;BBDC3.SA;ITSA4.SA;USIM5.SA;BRML3.SA;PETR3.SA;VIVT4.SA;ENBR3.SA;RADL3.SA
2018-08-22;53.29999923706055;;7.050000190734863;2.740000009536743;20.91670036315918;9.710000038146973;8.140000343322754;9.359999656677246;21.260000228881836;39.970001220703125;13.949999809265137;78.4000015258789
2018-08-23;53.349998474121094;;6.800000190734863;2.6700000762939453;20.375;9.449999809265137;8.020000457763672;9.079999923706055;20.969999313354492;40.04999923706055;13.869999885559082;79.80000305175781
2018-08-24;54.150001525878906;;6.860000133514404;2.680000066757202;20.54170036315918;9.489999771118164;8.15999984741211;9.180000305175781;21.09000015258789;40.56999969482422;13.5600004196167;81.19999694824219
2018-08-27;55.66999816894531;;7.0;2.690000057220459;21.25;9.760000228881836;8.270000457763672;9.449999809265137;21.450000762939453;40.86000061035156;13.59000015258789;80.33999633789062
2018-08-28;55.650001525878906;;6.96999979019165;2.6700000762939453;21.441699981689453;9.600000381469727;8.1899995803833;9.430000305175781;21.239999771118164;40.7400016784668;13.479999542236328;77.11000061035156
2018-08-29;55.220001220703125;;7.0;2.7200000286102295;21.558300018310547;9.869999885559082;8.329999923706055;9.479999542236328;22.170000076293945;40.900001525878906;13.550000190734863;79.08000183105469
2018-08-30;54.56999969482422;;6.849999904632568;2.609999895095825;20.733299255371094;9.430000305175781;8.079999923706055;9.199999809265137;21.68000030517578;40.189998626708984;13.239999771118164;78.5999984741211
2018-08-31;53.619998931884766;;7.019999980926514;2.559999942779541;20.924999237060547;9.59000015258789;8.069999694824219;9.149999618530273;22.079999923706055;40.02000045776367;13.40999984741211;77.0
2018-09-03;54.04999923706055;;6.929999828338623;2.549999952316284;20.683300018310547;9.470000267028809;8.020000457763672;9.119999885559082;21.75;39.5;13.329999923706055;76.25
2018-09-04;52.0;;6.690000057220459;2.4600000381469727;20.033300399780273;9.359999656677246;8.010000228881836;9.0;21.520000457763672;39.5099983215332;13.069999694824219;75.13999938964844
2018-09-05;52.150001525878906;;6.769999980926514;2.4000000953674316;20.149999618530273;9.359999656677246;7.880000114440918;9.010000228881836;21.729999542236328;39.38999938964844;13.130000114440918;72.79000091552734
2018-09-06;53.47999954223633;;6.849999904632568;2.390000104904175;20.733299255371094;9.699999809265137;7.940000057220459;9.300000190734863;21.920000076293945;40.970001220703125;13.149999618530273;74.25
2018-09-10;53.220001220703125;;6.829999923706055;2.299999952316284;20.75;9.6899995803833;7.869999885559082;9.4399995803833;22.200000762939453;40.66999816894531;13.25;75.66999816894531
2018-09-11;52.59000015258789;;6.559999942779541;2.200000047683716;20.0;9.289999961853027;7.400000095367432;9.050000190734863;21.579999923706055;39.97999954223633;13.149999618530273;73.44000244140625
2018-09-12;53.45000076293945;;6.550000190734863;2.1700000762939453;20.066699981689453;9.350000381469727;7.300000190734863;9.390000343322754;22.15999984741211;40.75;12.949999809265137;73.69999694824219
2018-09-13;53.779998779296875;;6.300000190734863;2.140000104904175;20.033300399780273;9.40999984741211;7.110000133514404;9.359999656677246;21.850000381469727;40.099998474121094;12.8100004196167;73.94999694824219
2018-09-14;55.20000076293945;;6.300000190734863;2.049999952316284;20.24169921875;9.630000114440918;7.0;9.319999694824219;22.0;39.97999954223633;12.800000190734863;76.95999908447266
2018-09-17;55.040000915527344;;6.550000190734863;1.9700000286102295;20.808300018310547;9.779999732971191;7.610000133514404;9.609999656677246;22.469999313354492;40.349998474121094;12.920000076293945;77.47000122070312
2018-09-18;57.34000015258789;;6.789999961853027;1.909999966621399;21.174999237060547;9.90999984741211;8.0;9.829999923706055;23.280000686645508;38.75;13.029999732971191;77.70999908447266
2018-09-19;58.58000183105469;;6.650000095367432;1.9299999475479126;21.174999237060547;9.899999618530273;8.350000381469727;9.649999618530273;23.149999618530273;38.20000076293945;12.649999618530273;77.0
